ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
,,,2381,Transporte Escolar Gratuito - TEG,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2381
,,,2380,Transporte Escolar Gratuito – Alterar endereço,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2380
662,"Cultura, esporte e lazer",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=662,3817,Biblioteca Mário de Andrade – Fazer uma sugestão,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3817
,,,4319,Parques Naturais Municipais – Agendar visita,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4319
,,,1022,Parques – Reclamar sobre manutenção e limpeza,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=1022
,,,3837,Solicitar documento oficial sobre incidência de legislação municipal de preservação do patrimônio cultural na cidade de São Paulo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3837
,,,3564,"Sugerir instalação de mobiliário (mesas, bancos, brinquedos, equipamentos de ginástica) em áreas públicas e praças",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3564
,,,848,Telecentro - Reclamação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=848
,,,3838,Tirar dúvidas sobre patrimônio cultural da cidade de São Paulo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3838
,,,3115,WiFi Livre SP - Sugerir local para instalação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3115
668,Finanças,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=668,3667,"Senha Web - Solicitar desbloqueio para Pessoa Física, MEI e Empresário Individual",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3667
,,,3328,CADIN - Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3328
,,,3333,CCM – Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3333
,,,3334,CPOM - Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3334
,,,3793,Dívida Ativa – Quitar minha parte da dívida antiga de IPTU sobre terreno total (Fração Ideal),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3793
,,,3329,Emissão de Certidões - Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3329
,,,3382,ITBI - Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3382
,,,3331,Parcelamento de Tributos - Fale com a Fazenda,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3331
671,CADIN - Cadastro Informativo Municipal,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=671,,,
